pb size, init time, reach time, representation time, LNF time, connectivity time, searching time, total time, nodes expanded, plan length
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7, 8
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 17
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 11
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 14
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 12
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 9
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7, 8
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 11
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 11
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6, 7
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 11
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 13
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 13
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 13
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 12
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 12
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 15
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 13
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 15
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4, 5
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 13
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 10
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 14
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 14
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 10
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 14
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 10
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 12
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 13
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 15
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 13
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 11
11, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 12, 12
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 13
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 15
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 13
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 10
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 14
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 12
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 11
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 10
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 12
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9, 10
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 12, 10
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 12
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9, 10
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 13
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 13
13, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 11, 11
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 12, 14
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8, 9
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 12
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8, 9
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 9
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15, 14
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 12
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 12, 12
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 10
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 10
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 13
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 12
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 13
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 12
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10
15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 13
15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 14
15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 13
15, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 14, 13
15, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 14, 12
15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 12, 13
15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12, 9
15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 12, 14
15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 13
15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8, 8
16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 12
16, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 9, 11
16, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 15, 12
16, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 9, 9
16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 12
16, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 9, 9
16, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 13, 12
16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 5
16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 14
16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9, 9
17, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 13, 13
17, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 13, 11
17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 11, 12
17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7, 7
17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14, 11
17, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 11, 12
17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 11
17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 13, 14
17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9, 10
17, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 8, 9
18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13, 12
18, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 11, 12
18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11, 11
18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6, 6
18, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 12, 11
18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 12, 11
18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10
18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10
18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10
18, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 11, 13
19, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 11, 11
19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 12, 13
19, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 14, 13
19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 12, 11
19, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 3, 3
19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 14, 15
19, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 12, 13
19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9, 9
19, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 12, 11
19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 13, 13
20, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 15, 16
20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 13, 14
20, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 12, 10
20, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 12, 11
20, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 10, 10
20, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 13, 13
20, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 9, 9
20, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 12, 9
20, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 10, 10
20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 13, 14
21, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 9, 10
21, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 5, 5
21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 13, 13
21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 15, 15
21, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 17, 17
21, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 15, 15
21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10
21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 12, 13
21, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 17, 14
21, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 10, 9
22, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 13, 12
22, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 12, 9
22, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 13, 14
22, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 13, 12
22, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 12, 9
22, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 13, 13
22, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 12, 13
22, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 9, 9
22, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 12, 13
22, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 13, 12
23, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 11, 9
23, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 11, 11
23, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 11, 11
23, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 10, 10
